,FPR,TPR
0,0.0,0.0
1,2.0589688683907098e-05,0.00020669698222405952
2,2.0589688683907098e-05,0.0004960727573377428
3,2.0589688683907098e-05,0.0005787515502273667
4,2.0589688683907098e-05,0.0008267879288962381
5,2.0589688683907098e-05,0.0009094667217858619
6,2.0589688683907098e-05,0.0009921455146754857
7,5.147422170976775e-05,0.0010334849111202976
8,6.17690660517213e-05,0.0010334849111202976
9,8.235875473562839e-05,0.0010334849111202976
10,8.235875473562839e-05,0.0011575031004547333
11,0.0001029484434195355,0.0011988424968995453
12,0.00011324328776148905,0.0011988424968995453
13,0.0001235381321034426,0.001281521289789169
14,0.0001441278207873497,0.001281521289789169
15,0.00016471750947125678,0.001322860686233981
16,0.00016471750947125678,0.0014055394791236049
17,0.00017501235381321034,0.0014055394791236049
18,0.00017501235381321034,0.0014882182720132287
19,0.00017501235381321034,0.0015295576684580404
20,0.00019560204249711744,0.0015295576684580404
21,0.000205896886839071,0.0015295576684580404
22,0.000205896886839071,0.0016122364613476642
23,0.00021619173118102454,0.001694915254237288
24,0.0002264865755229781,0.001694915254237288
25,0.0002264865755229781,0.0018602728400165358
26,0.0002264865755229781,0.0019429516329061596
27,0.00023678141986493165,0.0019429516329061596
28,0.0002470762642068852,0.0019842910293509713
29,0.0002470762642068852,0.002108309218685407
30,0.00025737110854883875,0.002149648615130219
31,0.00035002470762642067,0.002232327408019843
32,0.0003603195519683742,0.0023150062009094667
33,0.0003706143963103278,0.0023150062009094667
34,0.00040149892933618843,0.0023976849937990905
35,0.0004323834623620491,0.0023976849937990905
36,0.0004323834623620491,0.0024803637866887144
37,0.0004323834623620491,0.0025217031831335263
38,0.0004529731510459562,0.002563042579578338
39,0.00048385768407181685,0.002645721372467962
40,0.00048385768407181685,0.002728400165357586
41,0.00048385768407181685,0.002769739561802398
42,0.00048385768407181685,0.0028524183546920216
43,0.000504447372755724,0.0030177759404712693
44,0.0005250370614396311,0.003059115336916081
45,0.0005250370614396311,0.0031004547333608927
46,0.0005353319057815846,0.0036792062835882596
47,0.0005662164388074453,0.0037618850764778835
48,0.0005765112831493988,0.0037618850764778835
49,0.0005765112831493988,0.0038032244729226954
50,0.0005868061274913524,0.0038445638693675073
51,0.0005868061274913524,0.0038859032658123192
52,0.0006073958161752595,0.004092600248036379
53,0.000617690660517213,0.00413393964448119
54,0.0006485751935430736,0.00413393964448119
55,0.0006691648822269807,0.004175279040926003
56,0.0006794597265689342,0.004216618437370814
57,0.0007103442595947949,0.004216618437370814
58,0.0007103442595947949,0.0042579578338156265
59,0.0007206391039367484,0.0042579578338156265
60,0.0007206391039367484,0.004381976023150062
61,0.0007206391039367484,0.004423315419594874
62,0.0007412287926206556,0.004464654816039686
63,0.0007412287926206556,0.004588673005374122
64,0.0007515236369626091,0.004588673005374122
65,0.0007618184813045627,0.004630012401818933
66,0.0007824081699884698,0.0047540305911533695
67,0.0008029978586723769,0.004795369987598181
68,0.0008441772360401911,0.004836709384042993
69,0.0008853566134080053,0.004919388176932616
70,0.0009471256794597266,0.005167424555601488
71,0.0009574205238016801,0.005167424555601488
72,0.0009985999011694943,0.005167424555601488
73,0.0010191895898534014,0.005167424555601488
74,0.001029484434195355,0.005167424555601488
75,0.0010500741228792621,0.005167424555601488
76,0.0010603689672212156,0.0053327821413807356
77,0.0010603689672212156,0.005374121537825548
78,0.0010603689672212156,0.005539479123604796
79,0.0011530225662987976,0.005828854898718479
80,0.001163317410640751,0.005870194295163291
81,0.0011736122549827047,0.005952873088052915
82,0.0011736122549827047,0.005994212484497726
83,0.0011839070993246582,0.005994212484497726
84,0.0011839070993246582,0.006035551880942539
85,0.0011839070993246582,0.006118230673832162
86,0.0011942019436666119,0.0062009094667217855
87,0.0011942019436666119,0.006242248863166598
88,0.0012044967880085653,0.006242248863166598
89,0.00127656069840224,0.0064076064489458455
90,0.00127656069840224,0.006448945845390657
91,0.0012868555427441937,0.006490285241835469
92,0.0013074452314281008,0.006490285241835469
93,0.0013177400757700543,0.006531624638280281
94,0.0013383297644539614,0.006572964034725093
95,0.0013383297644539614,0.006614303431169905
96,0.001348624608795915,0.006738321620504341
97,0.0013589194531378685,0.006779661016949152
98,0.0013692142974798221,0.006779661016949152
99,0.0013692142974798221,0.006821000413393965
100,0.0013692142974798221,0.0069450186027284
101,0.0013795091418217756,0.007069036792062836
102,0.0013795091418217756,0.007110376188507648
103,0.0014000988305056827,0.007110376188507648
104,0.0014000988305056827,0.0071930549813972715
105,0.0014103936748476363,0.0071930549813972715
106,0.0014412782078734969,0.007234394377842084
107,0.0014515730522154506,0.007275733774286895
108,0.0015133421182671719,0.007441091360066143
109,0.0015133421182671719,0.007565109549400578
110,0.0015133421182671719,0.007606448945845391
111,0.001533931806951079,0.007689127738735015
112,0.001533931806951079,0.00781314592806945
113,0.0015442266512930324,0.00781314592806945
114,0.0015442266512930324,0.007895824720959075
115,0.0015648163399769395,0.007937164117403885
116,0.0015957008730028003,0.007978503513848698
117,0.0016059957173447537,0.00801984291029351
118,0.0016059957173447537,0.008061182306738322
119,0.0016162905616867074,0.008061182306738322
120,0.0016162905616867074,0.008102521703183133
121,0.0017192390051062427,0.008102521703183133
122,0.001760418382474057,0.008143861099627945
123,0.0020280843353648495,0.00847457627118644
124,0.0020280843353648495,0.008515915667631253
125,0.0020486740240487564,0.008557255064076065
126,0.0020486740240487564,0.008598594460520876
127,0.0020692637127326637,0.008598594460520876
128,0.0020898534014165706,0.008598594460520876
129,0.0020898534014165706,0.008639933856965688
130,0.0021001482457585242,0.008722612649855311
